district_name_ar,district_name_en,city_name_ar,region_name_ar,latitude,longitude
حي الصفا,Al Safa Dist.,تبوك,منطقة تبوك,28.3758923,36.512862
حي الاخضر,Al Akhdar Dist.,تبوك,منطقة تبوك,28.3610195,36.5108759
حي البوادي,Al Bawadi Dist.,تبوك,منطقة تبوك,28.3617199,36.5249849
حي اليرموك,Al Yarmuk Dist.,تبوك,منطقة تبوك,28.3525576,36.5131249
الأحياء الجنوبية,Southern Districts,تبوك,منطقة تبوك,28.3732691,36.5440499
حي النظيم,Al Nadheem Dist.,تبوك,منطقة تبوك,28.3767489,36.5397103
حي غرب الخالدية,Khalidiyah West Dist.,تبوك,منطقة تبوك,28.3765591,36.5613312
حي البساتين,Al Basatin Dist.,تبوك,منطقة تبوك,28.3682702,36.5580375
حي الحمراء,Al Hamra Dist.,تبوك,منطقة تبوك,28.3643297,36.5712582
البلدة القديمة,Down Town,تبوك,منطقة تبوك,28.3835079,36.5661908
حي السعادة,Al Saadah Dist.,تبوك,منطقة تبوك,28.3877946,36.5486041
حي سلطانة,Sultanah Dist.,تبوك,منطقة تبوك,28.3956639,36.5887183
حي الفيصلية الجنوبية,Faisaliyah South Dist.,تبوك,منطقة تبوك,28.3933317,36.580148
حي الفيصلية الشمالية,Faisaliyah North Dist.,تبوك,منطقة تبوك,28.4032988,36.5526378
حي النهضة,Al Nahdah Dist.,تبوك,منطقة تبوك,28.3902849,36.5429306
حي الروضة,Al Rawdah Dist.,تبوك,منطقة تبوك,28.4119696,36.5180957
حي المصيف الاول,Al Masif 1 Dist.,تبوك,منطقة تبوك,28.4362329,36.5420227
حي المروج الثاني,Al Muruj 2 Dist.,تبوك,منطقة تبوك,28.4207691,36.5816724
حي الريان,Al Rayan Dist.,تبوك,منطقة تبوك,28.4582661,36.5552447
حي الورود,Al Wurud Dist.,تبوك,منطقة تبوك,28.4132894,36.5787805
مخطط الراجحي,Al Rajhi Subdivision Plan,تبوك,منطقة تبوك,28.4159808,36.5323284
المدينة الجامعية,University City,تبوك,منطقة تبوك,28.3835079,36.5661908
حي الفلاح,Al Falah Dist.,تبوك,منطقة تبوك,28.413887,36.5775617
حي الزهراء,Al Zahra Dist.,تبوك,منطقة تبوك,28.3582569,36.5528764
حي رايس,Rise Dist.,تبوك,منطقة تبوك,28.3347837,36.532422
الدوائر الحكومية و,Government Departments Area F,تبوك,منطقة تبوك,28.3835079,36.5661908
الدوائر الحكومية ب,Government Departments Area B,تبوك,منطقة تبوك,28.3835079,36.5661908
الدوائر الحكومية د,Government Departments Area D,تبوك,منطقة تبوك,28.3835079,36.5661908
الدوائر الحكومية أ,Government Departments Area A,تبوك,منطقة تبوك,28.3835079,36.5661908
حي الجامعة,Al Jamiah Dist.,تبوك,منطقة تبوك,28.4721334,36.4698055
الدوائر الحكومية ج,Government Departments Area C,تبوك,منطقة تبوك,28.3835079,36.5661908
